epoch_number,train_loss,val_loss
1,1653.502171754837,230.29717922210693
2,775.6969124674797,141.78687393665314
3,589.6140463352203,118.14954572916031
4,514.3573239147663,107.7299057841301
5,471.5229052901268,100.11891701817513
6,441.1391926705837,93.94968473911285
7,421.5346902012825,92.6092012822628
8,402.8924542218447,89.16150656342506
9,391.77426239848137,84.91932161152363
10,377.20861142873764,84.05782602727413
11,365.56919454038143,79.3105725646019
12,356.0605668127537,79.82209360599518
13,348.6214327067137,77.62570917606354
14,343.7055316865444,76.53775934875011
15,333.3289189040661,76.50163596868515
16,330.12484039366245,73.5776164829731
17,323.72389966249466,72.32309268414974
18,318.44352305680513,70.52359646558762
19,310.9820025861263,72.9474606513977
20,309.61940908432007,70.23259550333023
