epoch_number,train_loss,val_loss
1,954.5450992584229,82.50630047917366
2,329.018008351326,74.08185604214668
3,292.3140449076891,66.28858904540539
4,268.64009684324265,63.4609245210886
5,255.37264712154865,62.272831469774246
6,243.15709150582552,60.324225917458534
7,232.6566823720932,60.60333273559809
8,227.1112964078784,57.66734040528536
9,220.50813695043325,58.97656711935997
10,213.2900454699993,61.67432200163603
11,207.8833580687642,62.00618476420641
12,204.72331950813532,64.6376174390316
13,203.2366712167859,60.509435929358006
14,196.13161811977625,60.83690105378628
15,192.61359824612737,60.989112816751
16,191.003319978714,66.15451277047396
17,187.14817390218377,61.74455604702234
18,185.66874975711107,66.90362603962421
19,189.66887050122023,64.8276377916336
20,179.37889567762613,70.33847930282354
