epoch_number,train_loss,val_loss
1,3253.909360766411,111.21074143052101
2,463.5393790602684,86.21792602539062
3,373.5276802480221,75.16115432977676
4,337.38215413689613,71.99697116017342
5,315.59493382275105,71.03993354737759
6,300.01334823668003,66.46029751002789
7,289.22088907659054,66.3038292825222
8,278.967856541276,64.1337222456932
9,269.44355197250843,63.592758402228355
10,262.0707354545593,64.35959143191576
11,256.41752998530865,62.87263002991676
12,251.13345897197723,61.75603153556585
13,244.93592513352633,63.438768304884434
14,243.6010731384158,60.95635613799095
15,241.03596250712872,61.79314036667347
16,235.90414897352457,59.32169550657272
17,232.36722507327795,60.93720093369484
18,231.91398122906685,58.86110711842775
19,225.45090264081955,63.98502741754055
20,223.00972232967615,59.05907942354679
