epoch_number,train_loss,val_loss
1,1699.8435031175613,228.88401746749878
2,770.3273559212685,144.12410452961922
3,590.805600643158,117.87884902954102
4,511.9869253337383,108.99342170357704
5,472.66389095783234,97.89193952083588
6,444.5592230260372,93.82434540987015
7,419.4572383463383,90.55589550733566
8,404.51326294243336,86.72776103019714
9,384.4833083152771,82.85876460373402
10,373.4014828056097,80.31213818490505
11,362.8565914928913,78.71555297076702
12,354.8325246423483,76.36740726232529
13,348.25130918622017,75.61571969091892
14,339.2139640301466,74.55764454603195
15,332.3017202168703,74.18598452210426
16,326.156995087862,73.68536101281643
17,321.4933344423771,74.510218501091
18,318.84919282794,70.45138673484325
19,314.5240469276905,70.23354797065258
20,306.2702697068453,68.80511312186718
