epoch_number,train_loss,val_loss
1,253.69552318751812,28.239306062459946
2,99.46897372510284,21.279177460819483
3,74.73562662117183,16.345863539725542
4,63.12392894132063,13.946976331062615
5,56.29464251548052,14.34267049934715
6,51.35865512280725,12.905818255385384
7,47.12812478514388,11.50711209315341
8,43.32559992931783,11.146034501027316
9,39.86210795631632,10.905027540953597
10,37.3427186596673,9.963748664653394
11,35.897859986987896,10.166010502493009
12,33.58315516859875,9.930737536866218
13,31.956646819715388,10.695920322323218
14,31.091034776938614,9.971827074186876
15,29.94561141403392,9.616080918291118
16,26.833204420283437,9.997552252025343
17,26.53688672016142,9.748465911485255
18,25.912397167820018,9.260165361687541
19,24.27191849789233,9.913224642979912
20,23.53123157439404,9.14225816912949
