epoch_number,train_loss,val_loss
1,1270.6916189193726,186.17703253030777
2,720.1661688685417,146.49833869934082
3,623.0519166588783,129.61560621857643
4,570.7670505344868,120.56097331643105
5,533.5850029885769,113.91670873761177
6,505.3714488148689,109.72293312847614
7,484.4076854586601,102.68962901830673
8,467.2313179522753,100.72552463412285
9,452.99599117040634,100.1385118663311
10,437.14995332062244,93.86187782883644
11,428.10550586879253,91.95930199325085
12,420.9453805088997,88.75623919069767
13,410.84859508275986,87.47548931837082
14,403.0096354931593,86.40523149073124
15,393.68978413939476,86.59050066769123
16,392.4946563988924,85.61936098337173
17,384.883684232831,83.66612789034843
18,378.466060295701,82.08919814229012
19,375.9792454689741,80.32312028110027
20,369.27820268273354,80.16164353489876
