epoch_number,train_loss,val_loss
1,3399.882616609335,109.7148275077343
2,471.9060142636299,87.34300935268402
3,381.67275665700436,77.52587650716305
4,347.13003005087376,72.98436035215855
5,324.7807700186968,73.3321133106947
6,310.0621497184038,68.0193260461092
7,300.4728206396103,68.40954121947289
8,291.1149223744869,67.05650521814823
9,281.1894852668047,66.14194650948048
10,273.8787149935961,65.74852094054222
11,266.9928510636091,64.53641474246979
12,262.873562797904,62.88951374590397
13,256.8986459746957,63.771213717758656
14,254.54793747514486,64.10918048024178
15,251.64868097007275,62.833867095410824
16,246.22576659172773,60.94345712661743
17,242.6586960107088,62.86798915266991
18,242.1530131548643,62.04207564890385
19,236.7040605098009,65.83014288544655
20,236.09720136225224,59.925510570406914
