epoch_number,train_loss,val_loss
1,253.43039716035128,25.35721248574555
2,95.66860657464713,21.32288961019367
3,67.49917670572177,17.425812946632504
4,52.3187533688033,15.86989186424762
5,42.157115802168846,15.182957468554378
6,36.78535412077326,13.20696065062657
7,31.590010507643456,15.786833903635852
8,26.104546600821777,16.348637697898084
9,24.408134136094304,18.908436147408793
10,22.306325002513404,16.696647533644864
11,19.865514441182313,17.693779115859797
12,20.74317816995608,15.210206201161782
13,17.45848674118224,18.33949954997297
14,16.75697220292568,18.122248843417765
15,16.64389915086349,20.45732770136601
16,15.294197584503763,20.73196292254761
17,16.22516945199027,20.96123347426692
18,14.441050470526534,22.89457582313844
19,14.165672067141486,19.882781890629303
20,11.525064582247182,24.459765920578775
